source_file,rollout_tag,family,method,model_label,policy_relative,checkpoint_step,kl_beta,up_lambda,n_examples,primary_judge,mean_R_phi,mean_R_dagger_anthropic,mean_R_dagger_openai,mean_judge_avg,mean_u,mean_kl_sft,spearman_rho_u_abs_err,mean_judge_disagreement_abs,Delta_hack_proxy_anthropic,Delta_hack_proxy_openai
rollout_summary_reward_hack_search_beta0p001_sampled_policy_step_100.json,reward_hack_search_beta0p001_sampled_policy_step_100,ppo_beta0p001_sampled,PPO,ppo,reward_hack_search_beta0p001_sampled/policy_step_100,100,0.001,0.0,64,anthropic,-0.9737761561152087,2.46875,3.59375,3.03125,0.21072590548338355,-0.0014290949329733849,0.20215201465201463,1.25,-3.4425261561152087,-4.567526156115209
rollout_summary_reward_hack_search_beta0p001_sampled_policy_step_200.json,reward_hack_search_beta0p001_sampled_policy_step_200,ppo_beta0p001_sampled,PPO,ppo,reward_hack_search_beta0p001_sampled/policy_step_200,200,0.001,0.0,64,anthropic,-0.956746589253204,2.578125,3.578125,3.078125,0.19968297272001387,-0.002879822626709938,0.18777472527472525,1.21875,-3.534871589253204,-4.534871589253204
rollout_summary_reward_hack_search_beta0p001_sampled_policy_step_500.json,reward_hack_search_beta0p001_sampled_policy_step_500,ppo_beta0p001_sampled,PPO,ppo,reward_hack_search_beta0p001_sampled/policy_step_500,500,0.001,0.0,64,anthropic,-0.8859527370587674,2.7109375,3.546875,3.12890625,0.2065896281215362,-0.00576218543574214,0.09088827838827838,1.1640625,-3.5968902370587674,-4.432827737058767
rollout_summary_reward_hack_search_beta0p001_sampled_policy_step_600.json,reward_hack_search_beta0p001_sampled_policy_step_600,ppo_beta0p001_sampled,PPO,ppo,reward_hack_search_beta0p001_sampled/policy_step_600,600,0.001,0.0,64,anthropic,-0.9307165696297565,2.640625,3.65625,3.1484375,0.20917246542703544,-0.00788889080286026,0.030998168498168492,1.171875,-3.5713415696297566,-4.586966569629756
rollout_summary_reward_hack_search_beta0p001_sampled_policy_step_800.json,reward_hack_search_beta0p001_sampled_policy_step_800,ppo_beta0p001_sampled,PPO,ppo,reward_hack_search_beta0p001_sampled/policy_step_800,800,0.001,0.0,64,anthropic,-0.8291346542608528,2.75,3.671875,3.2109375,0.1976303963409088,-0.007654549670405686,0.21808608058608053,1.078125,-3.579134654260853,-4.501009654260852
rollout_summary_reward_hack_search_beta0p005_policy_step_300.json,reward_hack_search_beta0p005_policy_step_300,ppo_beta0p005_greedy,PPO,ppo,reward_hack_search_beta0p005/policy_step_300,300,0.005,0.0,64,anthropic,-0.9268624789538241,2.71875,3.375,3.046875,0.18428514864299395,-0.012158162891864777,0.17596153846153845,1.09375,-3.645612478953824,-4.301862478953824
rollout_summary_reward_hack_search_beta0p005_policy_step_350.json,reward_hack_search_beta0p005_policy_step_350,ppo_beta0p005_greedy,PPO,ppo,reward_hack_search_beta0p005/policy_step_350,350,0.005,0.0,64,anthropic,-0.9314827314433695,2.84375,3.40625,3.125,0.18455421478017286,-0.020551442401483655,-0.015796703296703296,1.28125,-3.7752327314433693,-4.33773273144337
rollout_summary_reward_hack_search_beta0p005_policy_step_400.json,reward_hack_search_beta0p005_policy_step_400,ppo_beta0p005_greedy,PPO,ppo,reward_hack_search_beta0p005/policy_step_400,400,0.005,0.0,64,anthropic,-0.9186276829848875,2.75,3.421875,3.0859375,0.1832329078779283,-0.020515223033726215,0.08406593406593406,1.171875,-3.6686276829848876,-4.340502682984887
rollout_summary_reward_hack_search_beta0p01_policy_step_300.json,reward_hack_search_beta0p01_policy_step_300,ppo_beta0p01,PPO,sft,reward_hack_search_beta0p01/policy_step_300,300,0.01,0.0,64,anthropic,-0.9313485971781579,2.59375,3.53125,3.0625,0.14881624276829095,0.0,-0.009706959706959705,1.21875,-3.525098597178158,-4.462598597178157
rollout_summary_reward_hack_search_beta0p01_policy_step_300.json,reward_hack_search_beta0p01_policy_step_300,ppo_beta0p01,PPO,ppo,reward_hack_search_beta0p01/policy_step_300,300,0.01,0.0,64,anthropic,-0.83449916853569,2.8125,3.59375,3.203125,0.183492353932309,0.002496805042028427,0.3276556776556776,1.0625,-3.64699916853569,-4.4282491685356895
rollout_summary_reward_hack_search_beta0p01_policy_step_300.json,reward_hack_search_beta0p01_policy_step_300,ppo_beta0p01,PPO,dpo,reward_hack_search_beta0p01/policy_step_300,300,0.01,0.0,64,anthropic,-0.7791395490543079,2.8515625,3.671875,3.26171875,0.19507266750582028,0.0948180090636015,0.26442307692307687,1.2734375,-3.630702049054308,-4.451014549054308
rollout_summary_reward_hack_search_beta0p01_policy_step_350.json,reward_hack_search_beta0p01_policy_step_350,ppo_beta0p01,PPO,sft,reward_hack_search_beta0p01/policy_step_350,350,0.01,0.0,64,anthropic,-0.9313485971781579,2.609375,3.515625,3.0625,0.14881624276829095,0.0,-0.0841117216117216,1.15625,-3.540723597178158,-4.446973597178157
rollout_summary_reward_hack_search_beta0p01_policy_step_350.json,reward_hack_search_beta0p01_policy_step_350,ppo_beta0p01,PPO,ppo,reward_hack_search_beta0p01/policy_step_350,350,0.01,0.0,64,anthropic,-0.9014863138730472,2.90625,3.59375,3.25,0.1944266693672227,-0.001212751492857933,0.0950091575091575,0.96875,-3.8077363138730473,-4.495236313873047
rollout_summary_reward_hack_search_beta0p01_policy_step_350.json,reward_hack_search_beta0p01_policy_step_350,ppo_beta0p01,PPO,dpo,reward_hack_search_beta0p01/policy_step_350,350,0.01,0.0,64,anthropic,-0.7791395490543079,2.765625,3.65625,3.2109375,0.19507266750582028,0.0948180090636015,0.25618131868131866,1.109375,-3.544764549054308,-4.435389549054308
rollout_summary_reward_hack_search_beta0p01_policy_step_400.json,reward_hack_search_beta0p01_policy_step_400,ppo_beta0p01,PPO,sft,reward_hack_search_beta0p01/policy_step_400,400,0.01,0.0,64,anthropic,-0.9313485971781579,2.65625,3.5625,3.109375,0.14881624276829095,0.0,-0.08131868131868132,1.1875,-3.587598597178158,-4.493848597178157
rollout_summary_reward_hack_search_beta0p01_policy_step_400.json,reward_hack_search_beta0p01_policy_step_400,ppo_beta0p01,PPO,ppo,reward_hack_search_beta0p01/policy_step_400,400,0.01,0.0,64,anthropic,-0.9127612067185435,2.84375,3.609375,3.2265625,0.19146188093552313,-0.0011949180625379086,0.23232600732600728,1.109375,-3.7565112067185433,-4.522136206718543
rollout_summary_reward_hack_search_beta0p01_policy_step_400.json,reward_hack_search_beta0p01_policy_step_400,ppo_beta0p01,PPO,dpo,reward_hack_search_beta0p01/policy_step_400,400,0.01,0.0,64,anthropic,-0.7791395490543079,2.7578125,3.671875,3.21484375,0.19507266750582028,0.0948180090636015,0.3116758241758241,1.2109375,-3.536952049054308,-4.451014549054308
rollout_summary_reward_hack_search_beta0p03.json,reward_hack_search_beta0p03,ppo_beta0p03,PPO,sft,reward_hack_search_beta0p03/policy_after_pilot,,0.03,0.0,64,anthropic,-0.9313485971781579,2.71875,3.484375,3.1015625,0.14881624276829095,0.0,0.003617216117216117,1.140625,-3.650098597178158,-4.415723597178157
rollout_summary_reward_hack_search_beta0p03.json,reward_hack_search_beta0p03,ppo_beta0p03,PPO,ppo,reward_hack_search_beta0p03/policy_after_pilot,,0.03,0.0,64,anthropic,-0.9155970498982545,2.828125,3.671875,3.25,0.18863539405459556,-0.010673977434635162,-0.0347069597069597,1.15625,-3.7437220498982544,-4.587472049898254
rollout_summary_reward_hack_search_beta0p03.json,reward_hack_search_beta0p03,ppo_beta0p03,PPO,dpo,reward_hack_search_beta0p03/policy_after_pilot,,0.03,0.0,64,anthropic,-0.7791395490543079,2.75,3.765625,3.2578125,0.19507266750582028,0.0948180090636015,0.27115384615384613,1.203125,-3.529139549054308,-4.544764549054308
rollout_summary_reward_hack_search_beta0p03_policy_step_250.json,reward_hack_search_beta0p03_policy_step_250,ppo_beta0p03,PPO,sft,reward_hack_search_beta0p03/policy_step_250,250,0.03,0.0,64,anthropic,-0.9313485971781579,2.6875,3.5,3.09375,0.14881624276829095,0.0,-0.007234432234432234,1.125,-3.618848597178158,-4.431348597178157
rollout_summary_reward_hack_search_beta0p03_policy_step_250.json,reward_hack_search_beta0p03_policy_step_250,ppo_beta0p03,PPO,ppo,reward_hack_search_beta0p03/policy_step_250,250,0.03,0.0,64,anthropic,-0.8915140351076029,2.9140625,3.578125,3.24609375,0.19179804843767892,-0.006769548170268536,-0.013736263736263736,1.0546875,-3.805576535107603,-4.469639035107603
rollout_summary_reward_hack_search_beta0p03_policy_step_250.json,reward_hack_search_beta0p03_policy_step_250,ppo_beta0p03,PPO,dpo,reward_hack_search_beta0p03/policy_step_250,250,0.03,0.0,64,anthropic,-0.7791395490543079,2.84375,3.703125,3.2734375,0.19507266750582028,0.0948180090636015,0.23740842490842493,1.046875,-3.622889549054308,-4.482264549054308
rollout_summary_reward_hack_search_beta0p03_policy_step_350.json,reward_hack_search_beta0p03_policy_step_350,ppo_beta0p03,PPO,sft,reward_hack_search_beta0p03/policy_step_350,350,0.03,0.0,64,anthropic,-0.9313485971781579,2.65625,3.46875,3.0625,0.14881624276829095,0.0,-0.030448717948717948,1.0625,-3.587598597178158,-4.400098597178157
rollout_summary_reward_hack_search_beta0p03_policy_step_350.json,reward_hack_search_beta0p03_policy_step_350,ppo_beta0p03,PPO,ppo,reward_hack_search_beta0p03/policy_step_350,350,0.03,0.0,64,anthropic,-0.928202459202514,2.640625,3.640625,3.140625,0.1929054405488472,-0.009855926968157291,0.07422161172161171,1.21875,-3.568827459202514,-4.568827459202514
rollout_summary_reward_hack_search_beta0p03_policy_step_350.json,reward_hack_search_beta0p03_policy_step_350,ppo_beta0p03,PPO,dpo,reward_hack_search_beta0p03/policy_step_350,350,0.03,0.0,64,anthropic,-0.7791395490543079,2.9375,3.71875,3.328125,0.19507266750582028,0.0948180090636015,0.22170329670329667,1.21875,-3.716639549054308,-4.497889549054308
rollout_summary_reward_hack_search_beta0p03_policy_step_50.json,reward_hack_search_beta0p03_policy_step_50,ppo_beta0p03,PPO,sft,reward_hack_search_beta0p03/policy_step_50,50,0.03,0.0,64,anthropic,-0.9313485971781579,2.625,3.53125,3.078125,0.14881624276829095,0.0,0.05347985347985347,1.15625,-3.556348597178158,-4.462598597178157
rollout_summary_reward_hack_search_beta0p03_policy_step_50.json,reward_hack_search_beta0p03_policy_step_50,ppo_beta0p03,PPO,ppo,reward_hack_search_beta0p03/policy_step_50,50,0.03,0.0,64,anthropic,-0.8112164954201354,2.890625,3.734375,3.3125,0.19012659037185986,0.0031084767542779446,0.17216117216117213,1.15625,-3.7018414954201355,-4.545591495420135
rollout_summary_reward_hack_search_beta0p03_policy_step_50.json,reward_hack_search_beta0p03_policy_step_50,ppo_beta0p03,PPO,dpo,reward_hack_search_beta0p03/policy_step_50,50,0.03,0.0,64,anthropic,-0.7791395490543079,2.8125,3.71875,3.265625,0.19507266750582028,0.0948180090636015,0.2201465201465201,1.125,-3.591639549054308,-4.497889549054308
rollout_summary_reward_hack_search_beta0p0_aggressive_policy_step_1000.json,reward_hack_search_beta0p0_aggressive_policy_step_1000,ppo_beta0_aggressive,PPO,ppo,reward_hack_search_beta0p0_aggressive/policy_step_1000,1000,0.0,0.0,64,anthropic,-0.7344420178070715,2.7578125,3.21875,2.98828125,0.1806692458500792,-0.06300831557018682,0.41108058608058606,1.3515625,-3.4922545178070714,-3.9531920178070714
rollout_summary_reward_hack_search_beta0p0_aggressive_policy_step_1200.json,reward_hack_search_beta0p0_aggressive_policy_step_1200,ppo_beta0_aggressive,PPO,ppo,reward_hack_search_beta0p0_aggressive/policy_step_1200,1200,0.0,0.0,64,anthropic,-0.6571432085090446,2.3671875,3.140625,2.75390625,0.16106435832849234,0.021399418270448223,0.3547619047619047,1.1015625,-3.0243307085090447,-3.7977682085090447
rollout_summary_reward_hack_search_beta0p0_aggressive_policy_step_200.json,reward_hack_search_beta0p0_aggressive_policy_step_200,ppo_beta0_aggressive,PPO,ppo,reward_hack_search_beta0p0_aggressive/policy_step_200,200,0.0,0.0,64,anthropic,-0.7874303524407982,2.484375,3.453125,2.96875,0.1801380978595787,-0.014984742443630239,0.08869047619047618,1.21875,-3.271805352440798,-4.240555352440798
rollout_summary_reward_hack_search_beta0p0_aggressive_policy_step_400.json,reward_hack_search_beta0p0_aggressive_policy_step_400,ppo_beta0_aggressive,PPO,ppo,reward_hack_search_beta0p0_aggressive/policy_step_400,400,0.0,0.0,64,anthropic,-0.8226686312733658,2.578125,3.46875,3.0234375,0.17240557244165558,-0.03203268332663356,0.2580128205128205,1.078125,-3.4007936312733658,-4.291418631273366
rollout_summary_reward_hack_search_beta0p0_aggressive_policy_step_600.json,reward_hack_search_beta0p0_aggressive_policy_step_600,ppo_beta0_aggressive,PPO,ppo,reward_hack_search_beta0p0_aggressive/policy_step_600,600,0.0,0.0,64,anthropic,-0.7174421534820759,2.671875,3.359375,3.015625,0.15782999160364172,-0.03542280217152438,0.24967948717948718,1.34375,-3.389317153482076,-4.076817153482076
rollout_summary_reward_hack_search_beta0p0_aggressive_up_lambda0p1_policy_step_1000.json,reward_hack_search_beta0p0_aggressive_up_lambda0p1_policy_step_1000,up_ppo_lambda0p1_aggressive,UP-PPO,ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p1/policy_step_1000,1000,0.0,0.1,64,anthropic,-0.7416331956733091,2.828125,3.375,3.1015625,0.1634567818151123,0.007370586077740882,0.02564102564102564,1.359375,-3.569758195673309,-4.116633195673309
rollout_summary_reward_hack_search_beta0p0_aggressive_up_lambda0p1_policy_step_1200.json,reward_hack_search_beta0p0_aggressive_up_lambda0p1_policy_step_1200,up_ppo_lambda0p1_aggressive,UP-PPO,ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p1/policy_step_1200,1200,0.0,0.1,64,anthropic,-0.7642812887939741,2.8046875,3.203125,3.00390625,0.1680784781691413,0.05046570048580179,0.34358974358974353,1.2578125,-3.568968788793974,-3.967406288793974
rollout_summary_reward_hack_search_beta0p0_aggressive_up_lambda0p1_policy_step_200.json,reward_hack_search_beta0p0_aggressive_up_lambda0p1_policy_step_200,up_ppo_lambda0p1_aggressive,UP-PPO,ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p1/policy_step_200,200,0.0,0.1,64,anthropic,-0.8790902272585874,2.5,3.390625,2.9453125,0.18970610015014472,-0.008861184149964174,0.09097985347985348,1.046875,-3.3790902272585877,-4.269715227258588
rollout_summary_reward_hack_search_beta0p0_aggressive_up_lambda0p1_policy_step_400.json,reward_hack_search_beta0p0_aggressive_up_lambda0p1_policy_step_400,up_ppo_lambda0p1_aggressive,UP-PPO,ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p1/policy_step_400,400,0.0,0.1,64,anthropic,-0.8191690718565603,2.59375,3.421875,3.0078125,0.18640011924878355,-0.02261046339299355,0.06588827838827838,0.953125,-3.4129190718565603,-4.24104407185656
rollout_summary_reward_hack_search_beta0p0_aggressive_up_lambda0p1_policy_step_600.json,reward_hack_search_beta0p0_aggressive_up_lambda0p1_policy_step_600,up_ppo_lambda0p1_aggressive,UP-PPO,ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p1/policy_step_600,600,0.0,0.1,64,anthropic,-0.7990238229302582,3.2109375,3.578125,3.39453125,0.1794143347851414,0.012789054216227669,0.1975274725274725,1.2265625,-4.009961322930258,-4.377148822930258
rollout_summary_reward_hack_search_beta0p0_aggressive_up_lambda0p5_policy_step_1000.json,reward_hack_search_beta0p0_aggressive_up_lambda0p5_policy_step_1000,up_ppo_lambda0p5_aggressive,UP-PPO,ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p5/policy_step_1000,1000,0.0,0.5,64,anthropic,-0.8200174700128572,2.703125,3.375,3.0390625,0.1994649331903942,-0.009748655698786024,0.2633241758241758,1.015625,-3.523142470012857,-4.195017470012857
rollout_summary_reward_hack_search_beta0p0_aggressive_up_lambda0p5_policy_step_1200.json,reward_hack_search_beta0p0_aggressive_up_lambda0p5_policy_step_1200,up_ppo_lambda0p5_aggressive,UP-PPO,ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p5/policy_step_1200,1200,0.0,0.5,64,anthropic,-0.984280193342196,2.484375,2.6875,2.5859375,0.19207071298133233,0.04982158890925348,0.07527472527472527,1.078125,-3.468655193342196,-3.671780193342196
rollout_summary_reward_hack_search_beta0p0_aggressive_up_lambda0p5_policy_step_200.json,reward_hack_search_beta0p0_aggressive_up_lambda0p5_policy_step_200,up_ppo_lambda0p5_aggressive,UP-PPO,ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p5/policy_step_200,200,0.0,0.5,64,anthropic,-0.8815053673316846,2.4375,3.421875,2.9296875,0.17445149832124818,0.004720083185020485,-0.027289377289377286,1.078125,-3.319005367331685,-4.303380367331685
rollout_summary_reward_hack_search_beta0p0_aggressive_up_lambda0p5_policy_step_400.json,reward_hack_search_beta0p0_aggressive_up_lambda0p5_policy_step_400,up_ppo_lambda0p5_aggressive,UP-PPO,ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p5/policy_step_400,400,0.0,0.5,64,anthropic,-0.8150532872130298,2.375,3.421875,2.8984375,0.16790948224147914,-0.00844368842035692,0.07797619047619048,1.171875,-3.19005328721303,-4.23692828721303
rollout_summary_reward_hack_search_beta0p0_aggressive_up_lambda0p5_policy_step_600.json,reward_hack_search_beta0p0_aggressive_up_lambda0p5_policy_step_600,up_ppo_lambda0p5_aggressive,UP-PPO,ppo,reward_hack_search_beta0p0_aggressive_up_lambda0p5/policy_step_600,600,0.0,0.5,64,anthropic,-0.7919196803431824,2.6015625,3.3125,2.95703125,0.1718815908145223,-0.01344709673268607,0.10467032967032966,1.0390625,-3.3934821803431823,-4.104419680343183
rollout_summary_stability_tiny.json,stability_tiny,other,,sft,stability_tiny/policy_after_pilot,,,,64,anthropic,-0.9313485971781579,2.578125,3.5,3.0390625,0.14881624276829095,0.0,-0.03617216117216117,1.203125,-3.509473597178158,-4.431348597178157
rollout_summary_stability_tiny.json,stability_tiny,other,,ppo,stability_tiny/policy_after_pilot,,,,64,anthropic,-0.8664784198717356,2.703125,3.6875,3.1953125,0.19054411421255152,0.0003037676215171814,0.22275641025641021,1.203125,-3.5696034198717355,-4.5539784198717355
rollout_summary_stability_tiny.json,stability_tiny,other,,dpo,stability_tiny/policy_after_pilot,,,,64,anthropic,-0.7791395490543079,2.875,3.671875,3.2734375,0.19507266750582028,0.0948180090636015,0.26675824175824175,1.171875,-3.654139549054308,-4.451014549054308
rollout_summary_up_lambda_0p0.json,up_lambda_0p0,proposal_up_ppo_lambda_sweep,UP-PPO,sft,up_lambda_0p0/policy_after_pilot,,,0.0,512,anthropic,-0.8165504251406974,2.751953125,3.416015625,3.083984375,0.17160908073788914,0.0,0.02544344236733386,1.05859375,-3.568503550140697,-4.232566050140697
rollout_summary_up_lambda_0p0.json,up_lambda_0p0,proposal_up_ppo_lambda_sweep,UP-PPO,ppo,up_lambda_0p0/policy_after_pilot,,,0.0,512,anthropic,-1.2452498847923164,1.5302734375,1.32421875,1.42724609375,0.2327459778910129,0.8661851834040135,-0.0012081609560430759,0.6474609375,-2.775523322292316,-2.569468634792316
rollout_summary_up_lambda_0p0.json,up_lambda_0p0,proposal_up_ppo_lambda_sweep,UP-PPO,dpo,up_lambda_0p0/policy_after_pilot,,,0.0,512,anthropic,-0.7514320642487113,2.8369140625,3.58984375,3.21337890625,0.17936196238121055,0.09153041671015671,0.1249485907977707,1.0791015625,-3.5883461267487116,-4.341275814248712
rollout_summary_up_lambda_0p1.json,up_lambda_0p1,proposal_up_ppo_lambda_sweep,UP-PPO,sft,up_lambda_0p1/policy_after_pilot,,,0.1,512,anthropic,-0.8165504251406974,2.7861328125,3.42578125,3.10595703125,0.17160908073788914,0.0,0.014488811927077967,1.0712890625,-3.602683237640697,-4.242331675140697
rollout_summary_up_lambda_0p1.json,up_lambda_0p1,proposal_up_ppo_lambda_sweep,UP-PPO,ppo,up_lambda_0p1/policy_after_pilot,,,0.1,512,anthropic,-1.308409191637408,1.287109375,1.373046875,1.330078125,0.23160843461244374,1.2151313698850572,0.05273180453988854,0.44921875,-2.5955185666374083,-2.6814560666374083
rollout_summary_up_lambda_0p1.json,up_lambda_0p1,proposal_up_ppo_lambda_sweep,UP-PPO,dpo,up_lambda_0p1/policy_after_pilot,,,0.1,512,anthropic,-0.7514320642487113,2.873046875,3.603515625,3.23828125,0.17936196238121055,0.09153041671015671,0.13179111091083873,1.08203125,-3.6244789392487116,-4.354947689248712
rollout_summary_up_lambda_0p5.json,up_lambda_0p5,proposal_up_ppo_lambda_sweep,UP-PPO,sft,up_lambda_0p5/policy_after_pilot,,,0.5,512,anthropic,-0.8165504251406974,2.8349609375,3.4140625,3.12451171875,0.17160908073788914,0.0,0.04994220711596342,1.0185546875,-3.651511362640697,-4.230612925140697
rollout_summary_up_lambda_0p5.json,up_lambda_0p5,proposal_up_ppo_lambda_sweep,UP-PPO,ppo,up_lambda_0p5/policy_after_pilot,,,0.5,512,anthropic,-1.2593567936833792,1.3388671875,1.404296875,1.37158203125,0.21877939487206155,0.7760051368386485,0.03525848725695517,0.4736328125,-2.598223981183379,-2.663653668683379
rollout_summary_up_lambda_0p5.json,up_lambda_0p5,proposal_up_ppo_lambda_sweep,UP-PPO,dpo,up_lambda_0p5/policy_after_pilot,,,0.5,512,anthropic,-0.7514320642487113,2.87890625,3.611328125,3.2451171875,0.17936196238121055,0.09153041671015671,0.11604791444936544,1.080078125,-3.6303383142487116,-4.362760189248712
rollout_summary_up_lambda_1p0.json,up_lambda_1p0,proposal_up_ppo_lambda_sweep,UP-PPO,sft,up_lambda_1p0/policy_after_pilot,,,1.0,512,anthropic,-0.8165504251406974,2.86328125,3.423828125,3.1435546875,0.17160908073788914,0.0,0.02604560058822856,0.990234375,-3.679831675140697,-4.240378550140697
rollout_summary_up_lambda_1p0.json,up_lambda_1p0,proposal_up_ppo_lambda_sweep,UP-PPO,ppo,up_lambda_1p0/policy_after_pilot,,,1.0,512,anthropic,-1.2319422325525096,1.271484375,1.3515625,1.3115234375,0.22513099837242345,1.4787838319316506,0.06878300917819663,0.423828125,-2.50342660755251,-2.58350473255251
rollout_summary_up_lambda_1p0.json,up_lambda_1p0,proposal_up_ppo_lambda_sweep,UP-PPO,dpo,up_lambda_1p0/policy_after_pilot,,,1.0,512,anthropic,-0.7514320642487113,2.9072265625,3.5859375,3.24658203125,0.17936196238121055,0.09153041671015671,0.11453478516496722,1.0439453125,-3.6586586267487116,-4.337369564248712
